title,description
Operating Systems,"How computers manage hardware, memory, processes, and user interactions."
Computer Networks,"How devices communicate over local and global networks using protocols."
Databases,"Systems for storing, querying, and managing structured or unstructured data."
Cloud Computing,"Delivery of computing services over the internet such as storage and processing."
Cybersecurity,"Protecting systems, data, and networks from threats, exploits, and vulnerabilities."
DevOps,"Combines development and operations to automate building, testing, and deployment."
API Design,"Creating interfaces that allow applications and systems to communicate."
Virtualization,"Running multiple isolated systems using shared physical hardware resources."
Containerization,"Packaging applications with dependencies for consistent execution across environments."
Distributed Computing,"Systems where multiple machines work together to process data or tasks."
Frontend Engineering,"Building the user-facing portions of web applications and interfaces."
Backend Engineering,"Server-side logic, data processing, APIs, and infrastructure management."
Full-Stack Development,"Combining both frontend and backend development skills."
Data Engineering,"Building pipelines and systems to move, transform, and clean data."
Machine Learning,"Algorithms and models that enable computers to learn from data."
Natural Language Processing,"Computational techniques for understanding and generating human language."
Computer Vision,"Processing and interpreting visual data using algorithms and AI."
Game Development,"Creating games using engines, physics, graphics, and gameplay systems."
Embedded Systems,"Programming low-level devices such as sensors, microcontrollers, and IoT hardware."
Quantum Computing,"Computation using quantum states for extremely complex problems."
Version Control,"Tools and systems for tracking changes in code, usually Git."
Code Editors,"Text editors designed for writing and managing source code."
Task Runners,"Tools that automate repetitive development tasks like building or bundling."
Package Managers,"Systems that install, update, and manage external libraries or dependencies."
Testing Frameworks,"Tools for writing automated tests to validate application behavior."
Monitoring Tools,"Systems that track application performance, uptime, and errors."
CI/CD Pipelines,"Automated systems that continually build, test, and deploy code."
Command Line Tools,"Utilities for interacting with systems through text-based commands."
Algorithm Design,"Techniques for creating efficient procedures to solve computational problems."
Data Structures,"Ways of organizing data for efficient storage and access."
Combinatorics,"Counting and arranging possibilities in structured ways."
Graph Theory,"Studying networks, nodes, edges, and relationships."
Statistics,"Analyzing data using probability, distributions, and models."
Linear Algebra,"Working with vectors, matrices, transformations, and high-dimensional data."
Calculus,"Understanding change, rates, and optimization problems."
Probability Theory,"Modeling uncertainty and random events."
Discrete Mathematics,"Mathematics for computing—logic, sets, functions, proofs."
Color Theory,"Understanding color relationships and designing harmonious palettes."
Typography,"Using fonts, spacing, and text structure for readability and style."
Layout & Composition,"Arranging visual elements for balance, clarity, and flow."
3D Modeling,"Digital creation of objects, characters, and environments."
Animation Principles,"Movement rules for smooth, believable animations."
Sound Design,"Creating audio effects, ambience, and UI sound cues."
User Experience Design,"Crafting intuitive and user-friendly digital experiences."
User Interface Design,"Designing interactive visual elements of software."
Motion Graphics,"Animating visual assets for UI, branding, or storytelling."
Concept Art,"Early visual exploration of style, mood, and world-building."
