img,title,description,tags
https://via.placeholder.com/400,AI in 20235,"Exploring how AI continues to reshape industries worldwide.","AI,Technology,Innovation"
https://via.placeholder.com/400,Remote Work Trends,"The future of working from home and hybrid offices.","Work,Remote,Trends"
https://via.placeholder.com/400,Healthy Eating Tips,"Simple strategies for maintaining a balanced diet daily.","Health,Nutrition,Lifestyle"
https://via.placeholder.com/400,Top Travel Destinations,"Must-visit places around the world for 2025.","Travel,Adventure,Destinations"
https://via.placeholder.com/400,Personal Finance 101,"Basics of managing your money effectively.","Finance,Money,Education"
https://via.placeholder.com/400,Web Development Guide,"A beginner-friendly guide to building websites.","Coding,Web,Development"
https://via.placeholder.com/400,Mindfulness Practices,"Techniques to improve focus and reduce stress.","Mindfulness,Meditation,Wellness"
https://via.placeholder.com/400,Electric Cars,"How electric vehicles are changing the automotive industry.","Cars,Electric,Technology"
https://via.placeholder.com/400,Fitness Routines,"Daily workouts to keep your body healthy and strong.","Fitness,Health,Exercise"
https://via.placeholder.com/400,AI-Powered Music,"The rise of AI-generated music and creativity.","AI,Music,Technology"
